timestamp,fear_greed,value_classification,close,close_tomorrow,returns,change_btc
2022-03-11,22,Extreme Fear,38794.97265625,38904.01171875,0.002810649293818468,1.0028106492938185
2022-03-12,22,Extreme Fear,38904.01171875,37849.6640625,-0.027101257933814904,0.9756332192285303
2022-03-13,21,Extreme Fear,37849.6640625,39666.75390625,0.0480080837903738,1.0224715005659257
2022-03-14,23,Extreme Fear,39666.75390625,39338.78515625,-0.008268101563720931,1.0140176023532366
2022-03-15,21,Extreme Fear,39338.78515625,41143.9296875,0.04588714481344902,1.060547974915806
2022-03-16,24,Extreme Fear,41143.9296875,40951.37890625,-0.00467993171076464,1.0555846828172102
2022-03-17,27,Fear,40951.37890625,41801.15625,0.020750884742987363,1.077488998906813
2022-03-18,25,Extreme Fear,41801.15625,42190.65234375,0.009317830622209256,1.0875288588959204
2022-03-19,28,Fear,42190.65234375,41247.82421875,-0.022346848712323064,1.063226016015888
2022-03-20,31,Fear,41247.82421875,41077.99609375,-0.004117262624553253,1.058848435278693
2022-03-21,30,Fear,41077.99609375,42358.80859375,0.031180014163224357,1.0918633444873906
2022-03-22,26,Fear,42358.80859375,42892.95703125,0.012610091153007819,1.1056318407880046
2022-03-23,31,Fear,42892.95703125,43960.93359375,0.024898646221148013,1.1331605768426218
2022-03-24,40,Fear,43960.93359375,44348.73046875,0.008821397620525806,1.143156636858855
2022-03-25,47,Neutral,44348.73046875,44500.828125,0.003429583093865096,1.1470771875342658
2022-03-26,51,Neutral,44500.828125,46820.4921875,0.052126312256127294,1.2068700911935573
2022-03-27,49,Neutral,46820.4921875,47128.00390625,0.0065678873583499,1.214796678008678
2022-03-28,60,Greed,47128.00390625,47465.73046875,0.0071661546110000085,1.2235020988242176
2022-03-29,56,Greed,47465.73046875,47062.6640625,-0.008491735032190584,1.2131124431896732
2022-03-30,55,Greed,47062.6640625,45538.67578125,-0.03238210822970233,1.1738293047595065
2022-03-31,52,Neutral,45538.67578125,46281.64453125,0.016315115388267687,1.192980465312788
2022-04-01,50,Neutral,46281.64453125,45868.94921875,-0.008917040798352427,1.1823426098319565
2022-04-02,52,Neutral,45868.94921875,46453.56640625,0.012745379989237415,1.1974120156717314
2022-04-03,48,Neutral,46453.56640625,46622.67578125,0.003640395949819908,1.2017710695238484
2022-04-04,52,Neutral,46622.67578125,45555.9921875,-0.02287907280900814,1.1742756617244527
2022-04-05,53,Neutral,45555.9921875,43206.73828125,-0.05156849392240015,1.113720034399593
2022-04-06,48,Neutral,43206.73828125,43503.84765625,0.006876459247305178,1.1213784848290491
2022-04-07,34,Fear,43503.84765625,42287.6640625,-0.02795577079433975,1.0900294849334642
2022-04-08,37,Fear,42287.6640625,42782.13671875,0.011693070951357853,1.1027752770398633
2022-04-09,30,Fear,42782.13671875,42207.671875,-0.013427680050824398,1.087967563451813
2022-04-10,34,Fear,42207.671875,39521.90234375,-0.06363225953812457,1.0187377290851862
2022-04-11,32,Fear,39521.90234375,40127.18359375,0.015315083892861292,1.0343397828709489
2022-04-12,20,Extreme Fear,40127.18359375,41166.73046875,0.025906300465151855,1.0611357000690635
2022-04-13,25,Extreme Fear,41166.73046875,39935.515625,-0.029908006531745968,1.0293992466203292
2022-04-14,28,Fear,39935.515625,40553.46484375,0.015473675726454417,1.0453278367555887
2022-04-15,22,Extreme Fear,40553.46484375,40424.484375,-0.0031805042860567623,1.042003167090453
2022-04-16,28,Fear,40424.484375,39716.953125,-0.017502542356175654,1.0237654625231831
2022-04-17,28,Fear,39716.953125,40826.21484375,0.027929174608607443,1.0523583868842548
2022-04-18,24,Extreme Fear,40826.21484375,41502.75,0.016571096753378534,1.069797119532543
2022-04-19,27,Fear,41502.75,41374.37890625,-0.003093074404708074,1.0664881574438865
2022-04-20,27,Fear,41374.37890625,40527.36328125,-0.020471984048854197,1.0446550288964034
2022-04-21,27,Fear,40527.36328125,39740.3203125,-0.019420038833716236,1.0243677876673982
