Date,Price,Open,High,Low,Volume,Rate
13.01.2023,512.20,513.90,522.80,506.20,"6,05","-0,37"
12.01.2023,514.10,489.90,516.40,470.10,"10,28","8,69"
11.01.2023,473.00,477.50,493.20,471.80,"9,43","-0,48"
10.01.2023,475.30,498.00,498.10,473.10,"5,82","-5,09"
09.01.2023,500.80,513.00,515.30,495.10,"6,79","-1,48"
06.01.2023,508.30,487.90,514.00,480.20,"8,45","4,12"
05.01.2023,488.20,514.70,516.40,488.20,"7,38","-4,74"
04.01.2023,512.50,525.00,527.70,508.70,"6,70","-2,29"
03.01.2023,524.50,540.00,547.50,524.50,"8,61","-1,93"
02.01.2023,534.80,534.00,539.50,528.90,"6,66","0,92"
30.12.2022,529.90,512.00,541.80,512.00,"10,42","4,62"
29.12.2022,506.50,507.10,511.50,502.10,"4,89","-0,12"
28.12.2022,507.10,508.00,513.60,496.80,"6,59","0,16"
27.12.2022,506.30,500.00,514.70,499.90,"5,44","-0,49"
26.12.2022,508.80,507.60,516.00,505.30,"7,21","3,63"
23.12.2022,491.00,475.30,493.90,470.20,"6,65","3,35"
22.12.2022,475.10,479.00,484.50,473.00,"4,36","-0,48"
21.12.2022,477.40,483.00,485.80,475.50,"5,99","0,89"
20.12.2022,473.20,470.50,476.20,465.20,"6,95","0,90"
19.12.2022,469.00,454.60,470.30,454.60,"6,53","3,95"
16.12.2022,451.20,457.50,461.30,450.50,"4,91","-1,36"
15.12.2022,457.40,460.10,467.60,445.00,"5,97","1,17"
14.12.2022,452.10,475.50,477.70,451.80,"7,11","-4,03"
13.12.2022,471.10,462.50,474.00,462.10,"6,10","3,77"
12.12.2022,454.00,438.00,459.10,436.50,"8,64","3,80"
09.12.2022,437.40,437.80,440.50,431.00,"9,31","0,09"
08.12.2022,437.00,460.20,463.40,427.30,"12,70","-5,00"
07.12.2022,460.00,482.80,483.00,458.70,"6,63","-4,64"
06.12.2022,482.40,478.90,487.70,478.90,"7,13","1,94"
05.12.2022,473.20,484.00,489.00,472.70,"6,80","-1,64"
02.12.2022,481.10,486.00,488.80,477.60,"5,70","-0,80"
01.12.2022,485.00,485.50,492.50,481.70,"7,70","0,77"
30.11.2022,481.30,485.00,487.50,479.50,"7,45","-0,76"
29.11.2022,485.00,474.50,485.30,466.70,"7,52","3,02"
28.11.2022,470.80,474.10,483.30,470.80,"6,76","-0,61"
25.11.2022,473.70,467.70,476.20,465.80,"5,55","1,28"
24.11.2022,467.70,473.30,478.90,460.50,"6,60","-0,72"
23.11.2022,471.10,472.40,482.80,465.50,"8,11","0,02"
22.11.2022,471.00,445.00,472.20,444.30,"9,82","8,83"
21.11.2022,432.80,426.30,437.30,426.30,"5,80","1,69"
18.11.2022,425.60,421.30,436.00,421.10,"5,70","1,33"
17.11.2022,420.00,430.70,431.40,412.30,"6,63","-1,96"
16.11.2022,428.40,437.80,441.00,427.70,"7,32","-2,08"
15.11.2022,437.50,440.00,443.30,432.10,"8,19","1,84"
14.11.2022,429.60,430.00,434.40,426.40,"5,11","-0,16"
11.11.2022,430.30,440.50,442.80,426.00,"8,25","-0,78"
10.11.2022,433.70,430.70,438.70,426.90,"6,86","0,67"
09.11.2022,430.80,442.10,445.90,429.80,"6,86","-2,53"
08.11.2022,442.00,450.50,459.00,439.80,"10,55","-1,34"
07.11.2022,448.00,432.70,452.20,425.20,"12,32","4,62"
04.11.2022,428.20,409.40,433.40,408.10,"10,09","5,08"
03.11.2022,407.50,415.00,417.80,401.60,"13,12","3,16"
02.11.2022,395.00,392.50,399.50,391.00,"6,91","1,28"
01.11.2022,390.00,382.10,391.70,381.50,"6,42","2,90"
31.10.2022,379.00,370.00,380.60,367.10,"6,22","3,67"
28.10.2022,365.60,372.00,372.80,361.80,"3,46","-1,93"
27.10.2022,372.80,370.50,376.90,365.30,"7,41","1,33"
26.10.2022,367.90,376.80,380.20,366.00,"7,38","-1,76"
25.10.2022,374.50,380.20,384.40,374.50,"5,59","-1,76"
24.10.2022,381.20,385.50,388.20,377.50,"6,97","0,32"
21.10.2022,380.00,370.00,383.70,369.70,"8,83","3,20"
20.10.2022,368.20,362.00,372.00,359.40,"11,28","2,28"
19.10.2022,360.00,359.50,367.30,355.70,"10,07","0,33"
18.10.2022,358.80,368.00,373.80,353.60,"9,62","-1,83"
17.10.2022,365.50,343.50,365.50,343.10,"10,34","9,40"
14.10.2022,334.10,336.10,339.40,332.50,"5,13","1,06"
13.10.2022,330.60,337.00,338.60,328.40,"4,41","-1,90"
12.10.2022,337.00,343.60,344.60,335.00,"3,75","-1,89"
11.10.2022,343.50,345.00,348.40,340.60,"3,24","-0,43"
10.10.2022,345.00,349.00,352.00,344.60,"3,01","-0,40"
07.10.2022,346.40,347.00,350.20,343.90,"3,35","-0,17"
06.10.2022,347.00,346.00,353.50,345.40,"5,45","2,21"
05.10.2022,339.50,335.50,344.40,329.00,"8,20","1,19"
04.10.2022,335.50,327.00,341.20,325.80,"6,32","5,34"
03.10.2022,318.50,295.90,318.50,295.60,"7,37","9,98"
30.09.2022,289.60,296.60,299.10,287.40,"5,09","-2,00"
